Description,DamageType,DamageDice,MonsterId,ActionId
Melee Weapon Attack: +3 to hit reach 5 ft. one target. Hit: 4 (1d6 + 1) slashing damage.,Slashing,1d6+1,51,40
The devil makes three attacks: two with its claws and one with its sting.,,,52,1
Melee Weapon Attack: +8 to hit reach 10 ft. one target. Hit: 8 (1d8 + 4) slashing damage.,Slashing,1d8+4,52,7
Melee Weapon Attack: +8 to hit reach 10 ft. one target. Hit: 13 (2d8 + 4) piercing damage plus 17 (5d6) poison damage and the target must succeed on a DC 14 Constitution saving throw or become poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns ending the effect on itself on a success.,Piercing,2d8+4,52,41
Melee Weapon Attack: +8 to hit reach 10 ft. one target. Hit: 13 (2d8 + 4) piercing damage plus 17 (5d6) poison damage and the target must succeed on a DC 14 Constitution saving throw or become poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns ending the effect on itself on a success.,Poison,5d6,52,41
Melee Weapon Attack: +4 to hit reach 5 ft. one target. Hit: 7 (1d10 + 2) piercing damage.,Piercing,1d10+2,53,6
"The dragon uses one of the following breath weapons.
Fire Breath. The dragon exhales fire in an 20-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw taking 14 (4d6) fire damage on a failed save or half as much damage on a successful one.
Sleep Breath. The dragon exhales sleep gas in a 15-foot cone. Each creature in that area must succeed on a DC 11 Constitution saving throw or fall unconscious for 1 minute. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.",,,53,11
Melee Weapon Attack: +5 to hit reach 5 ft. one target. Hit: 8 (1d10 + 3) piercing damage.,Piercing,1d10+3,54,6
"The dragon uses one of the following breath weapons.
Lightning Breath. The dragon exhales lightning in a 40-foot line that is 5 feet wide. Each creature in that line must make a DC 12 Dexterity saving throw taking 16 (3d10) lightning damage on a failed save or half as much damage on a successful one.
Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 12 Strength saving throw. On a failed save the creature is pushed 30 feet away from the dragon.",,,54,11
The bear makes two attacks: one with its bite and one with its claws.,,,55,1
Melee Weapon Attack: +5 to hit reach 5 ft. one target. Hit: 8 (1d8 + 4) piercing damage.,Piercing,1d8+4,55,6
Melee Weapon Attack: +5 to hit reach 5 ft. one target. Hit: 11 (2d6 + 4) slashing damage.,Slashing,2d6+4,55,38
Melee Weapon Attack: +4 to hit reach 5 ft. one target. Hit: 11 (2d8 + 2) piercing damage.,Piercing,2d8+2,56,42
Melee or Ranged Weapon Attack: +4 to hit reach 5 ft. or range 30/120 ft. one target. Hit: 9 (2d6 + 2) piercing damage in melee or 5 (1d6 + 2) piercing damage at range.,Piercing,2d6+2,56,43
Melee Weapon Attack: +7 to hit reach 5 ft. one target. Hit: 30 (4d12 + 4) piercing damage.,Piercing,4d12+4,57,6
If the bulette jumps at least 15 ft. as part of its movement it can then use this action to land on its feet in a space that contains one or more other creatures. Each of those creatures must succeed on a DC 16 Strength or Dexterity saving throw (target's choice) or be knocked prone and take 14 (3d6 + 4) bludgeoning damage plus 14 (3d6 + 4) slashing damage. On a successful save the creature takes only half the damage isn't knocked prone and is pushed 5 ft. out of the bulette's space into an unoccupied space of the creature's choice. If no unoccupied space is within range the creature instead falls prone in the bulette's space.,,,57,44
Melee Weapon Attack: +5 to hit reach 5 ft. one target. Hit: 2 (1d4) bludgeoning damage.,Bludgeoning,1d4,58,6
Melee Weapon Attack: +0 to hit reach 5 ft. one target. Hit: 1 slashing damage.,Slashing,1,59,38
The centaur makes two attacks: one with its pike and one with its hooves or two with its longbow.,,,60,1
Melee Weapon Attack: +6 to hit reach 10 ft. one target. Hit: 9 (1d10 + 4) piercing damage.,Piercing,1d10+4,60,45
Melee Weapon Attack: +6 to hit reach 5 ft. one target. Hit: 11 (2d6 + 4) bludgeoning damage.,Bludgeoning,2d6+4,60,46
Ranged Weapon Attack: +4 to hit range 150/600 ft. one target. Hit: 6 (1d8 + 2) piercing damage.,Piercing,1d8+2,60,47
The devil makes two attacks with its chains.,,,61,1
Melee Weapon Attack: +8 to hit reach 10 ft. one target. Hit: 11 (2d6 + 4) slashing damage. The target is grappled (escape DC 14) if the devil isn't already grappling a creature. Until this grapple ends the target is restrained and takes 7 (2d6) piercing damage at the start of each of its turns.,Slashing,2d6+4,61,48
"Up to four chains the devil can see within 60 feet of it magically sprout razor-edged barbs and animate under the devil's control provided that the chains aren't being worn or carried.
Each animated chain is an object with AC 20 20 hit points resistance to piercing damage and immunity to psychic and thunder damage. When the devil uses Multiattack on its turn it can use each animated chain to make one additional chain attack. An animated chain can grapple one creature of its own but can't make attacks while grappling. An animated chain reverts to its inanimate state if reduced to 0 hit points or if the devil is incapacitated or dies.",,,61,49
The chimera makes three attacks: one with its bite one with its horns and one with its claws. When its fire breath is available it can use the breath in place of its bite or horns.,,,62,1
Melee Weapon Attack: +7 to hit reach 5 ft. one target. Hit: 11 (2d6 + 4) piercing damage.,Piercing,2d6+4,62,6
Melee Weapon Attack: +7 to hit reach 5 ft. one target. Hit: 10 (1d12 + 4) bludgeoning damage.,Bludgeoning,1d12+4,62,50
Melee Weapon Attack: +7 to hit reach 5 ft. one target. Hit: 11 (2d6 + 4) slashing damage.,Slashing,2d6+4,62,38
The dragon head exhales fire in a 15-foot cone. Each creature in that area must make a DC 15 Dexterity saving throw taking 31 (7d8) fire damage on a failed save or half as much damage on a successful one.,Fire,7d8,62,13
The chuul makes two pincer attacks. If the chuul is grappling a creature the chuul can also use its tentacles once.,,,63,1
Melee Weapon Attack: +6 to hit reach 10 ft. one target. Hit: 11 (2d6 + 4) bludgeoning damage. The target is grappled (escape DC 14) if it is a Large or smaller creature and the chuul doesn't have two other creatures grappled.,Bludgeoning,2d6+4,63,51
One creature grappled by the chuul must succeed on a DC 13 Constitution saving throw or be poisoned for 1 minute. Until this poison ends the target is paralyzed. The target can repeat the saving throw at the end of each of its turns ending the effect on itself on a success.,,,63,52
The golem makes two slam attacks.,,,64,1
Melee Weapon Attack: +8 to hit reach 5 ft. one target. Hit: 16 (2d10 + 5) bludgeoning damage. If the target is a creature it must succeed on a DC 15 Constitution saving throw or have its hit point maximum reduced by an amount equal to the damage taken. The target dies if this attack reduces its hit point maximum to 0. The reduction lasts until removed by the greater restoration spell or other magic.,Bludgeoning,2d10+5,64,15
Until the end of its next turn the golem magically gains a +2 bonus to its AC has advantage on Dexterity saving throws and can use its slam attack as a bonus action.,,,64,53
The cloaker makes two attacks: one with its bite and one with its tail.,,,65,1
Melee Weapon Attack: +6 to hit reach 5 ft. one creature. Hit: 10 (2d6 + 3) piercing damage and if the target is Large or smaller the cloaker attaches to it. If the cloaker has advantage against the target the cloaker attaches to the target's head and the target is blinded and unable to breathe while the cloaker is attached. While attached the cloaker can make this attack only against the target and has advantage on the attack roll. The cloaker can detach itself by spending 5 feet of its movement. A creature including the target can take its action to detach the cloaker by succeeding on a DC 16 Strength check.,Piercing,2d6+3,65,6
Melee Weapon Attack: +6 to hit reach 10 ft. one creature. Hit: 7 (1d8 + 3) slashing damage.,Slashing,1d8+3,65,3
Each creature within 60 feet of the cloaker that can hear its moan and that isn't an aberration must succeed on a DC 13 Wisdom saving throw or become frightened until the end of the cloaker's next turn. If a creature's saving throw is successful the creature is immune to the cloaker's moan for the next 24 hours.,,,65,54
"The cloaker magically creates three illusory duplicates of itself if it isn't in bright light. The duplicates move with it and mimic its actions shifting position so as to make it impossible to track which cloaker is the real one. If the cloaker is ever in an area of bright light the duplicates disappear.
Whenever any creature targets the cloaker with an attack or a harmful spell while a duplicate remains that creature rolls randomly to determine whether it targets the cloaker or one of the duplicates. A creature is unaffected by this magical effect if it can't see or if it relies on senses other than sight.
A duplicate has the cloaker's AC and uses its saving throws. If an attack hits a duplicate or if a duplicate fails a saving throw against an effect that deals damage the duplicate disappears.",,,65,55
The giant makes two morningstar attacks.,,,66,1
Melee Weapon Attack: +12 to hit reach 10 ft. one target. Hit: 21 (3d8 + 8) piercing damage.,Piercing,3d8+8,66,42
Ranged Weapon Attack: +12 to hit range 60/240 ft. one target. Hit: 30 (4d10 + 8) bludgeoning damage.,Bludgeoning,4d10+8,66,21
Melee Weapon Attack: +3 to hit reach 5 ft. one creature. Hit: 3 (1d4 + 1) piercing damage and the target must succeed on a DC 11 Constitution saving throw against being magically petrified. On a failed save the creature begins to turn to stone and is restrained. It must repeat the saving throw at the end of its next turn. On a success the effect ends. On a failure the creature is petrified for 24 hours.,Piercing,1d4+1,67,6
Melee Weapon Attack: +2 to hit reach 5 ft. one target. Hit: 2 (1d4) bludgeoning damage.,Bludgeoning,1d4,68,5
Melee Weapon Attack: +4 to hit reach 5 ft. one creature. Hit: 5 (1d6 + 2) piercing damage.,Piercing,1d6+2,69,6
Melee Weapon Attack: +4 to hit reach 5 ft. one creature. Hit: 6 (1d8 + 2) bludgeoning damage and the target is grappled (escape DC 14). Until this grapple ends the creature is restrained and the snake can't constrict another target.,Bludgeoning,1d8+2,69,35
Melee Weapon Attack: +4 to hit reach 5 ft. one target. Hit: 7 (1d10 + 2) piercing damage.,Piercing,1d10+2,70,6
"The dragon uses one of the following breath weapons.
Acid Breath. The dragon exhales acid in an 20-foot line that is 5 feet wide. Each creature in that line must make a DC 11 Dexterity saving throw taking 18 (4d8) acid damage on a failed save or half as much damage on a successful one.
Slowing Breath. The dragon exhales gas in a 15-foot cone. Each creature in that area must succeed on a DC 11 Constitution saving throw. On a failed save the creature can't use reactions its speed is halved and it can't make more than one attack on its turn. In addition the creature can use either an action or a bonus action on its turn but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns ending the effect on itself with a successful save.",,,70,11
Melee Weapon Attack: +8 to hit reach 5 ft. one creature. Hit: 8 (1d6 + 5) piercing damage and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 24 hours. Until this poison ends the target is unconscious. Another creature can use an action to shake the target awake.,Piercing,1d6+5,71,6
Melee Weapon Attack: +6 to hit reach 10 ft. one Medium or smaller creature. Hit: 10 (2d6 + 3) bludgeoning damage and the target is grappled (escape DC 15). Until this grapple ends the target is restrained and the couatl can't constrict another target.,Bludgeoning,2d6+3,71,35
"The couatl magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the couatl's choice).
In a new form the couatl retains its game statistics and ability to speak but its AC movement modes Strength Dexterity and other actions are replaced by those of the new form and it gains any statistics and capabilities (except class features legendary actions and lair actions) that the new form has but that it lacks. If the new form has a bite attack the couatl can use its bite in that form.",,,71,17
Melee Weapon Attack: +0 to hit reach 5 ft. one target. Hit: 1 bludgeoning damage.,Bludgeoning,1,72,7
Melee Weapon Attack: +4 to hit reach 5 ft. one creature. Hit: 7 (1d10 + 2) piercing damage and the target is grappled (escape DC 12). Until this grapple ends the target is restrained and the crocodile can't bite another target,Bludgeoning,1d10+2,73,6
The fanatic makes two melee attacks.,,,74,1
Melee or Ranged Weapon Attack: +4 to hit reach 5 ft. or range 20/60 ft. one creature. Hit: 4 (1d4 + 2) piercing damage.,Piercing,1d4+2,74,22
Melee Weapon Attack: +3 to hit reach 5 ft. one creature. Hit: 4 (1d6 + 1) slashing damage.,Slashing,1d6+1,75,31
"Melee Weapon Attack: +5 to hit reach 5 ft. one creature. Hit: 6 (1d6 + 3) bludgeoning damage and the darkmantle attaches to the target. If the target is Medium or smaller and the darkmantle has advantage on the attack roll it attaches by engulfing the target's head and the target is also blinded and unable to breathe while the darkmantle is attached in this way.
While attached to the target the darkmantle can attack no other creature except the target but has advantage on its attack rolls. The darkmantle's speed also becomes 0 it can't benefit from any bonus to its speed and it moves with the target.
A creature can detach the darkmantle by making a successful DC 13 Strength check as an action. On its turn the darkmantle can detach itself from the target by using 5 feet of movement.",Bludgeoning,1d6+3,76,56
A 15-foot radius of magical darkness extends out from the darkmantle moves with it and spreads around corners. The darkness lasts as long as the darkmantle maintains concentration up to 10 minutes (as if concentrating on a spell). Darkvision can't penetrate this darkness and no natural light can illuminate it. If any of the darkness overlaps with an area of light created by a spell of 2nd level or lower the spell creating the light is dispelled.,,,76,57
The dog makes two bite attacks.,,,77,1
Melee Weapon Attack: +4 to hit reach 5 ft. one target. Hit: 5 (1d6 + 2) piercing damage. If the target is a creature it must succeed on a DC 12 Constitution saving throw against disease or become poisoned until the disease is cured. Every 24 hours that elapse the creature must repeat the saving throw reducing its hit point maximum by 5 (1d10) on a failure. This reduction lasts until the disease is cured. The creature dies if the disease reduces its hit point maximum to 0.,Bludgeoning,1d6+2,77,6
Melee Weapon Attack: +4 to hit reach 5 ft. one target. Hit: 6 (1d8 + 2) piercing damage.,Piercing,1d8+2,78,58
Ranged Weapon Attack: +4 to hit range 30/120 ft. one creature. Hit: 4 (1d4 + 2) piercing damage and the target must succeed on a DC 12 Constitution saving throw or be poisoned for 1 minute. The target can repeat the saving throw at the end of each of its turns ending the effect on itself on a success,Piercing,1d4+2,78,59
Melee Weapon Attack: +2 to hit reach 5 ft. one target. Hit: 2 (1d4) piercing damage.,Piercing,1d4,79,6
The deva makes two melee attacks.,,,80,1
Melee Weapon Attack: +8 to hit reach 5 ft. one target. Hit: 7 (1d6 + 4) bludgeoning damage plus 18 (4d8) radiant damage.,Bludgeoning,1d6+4,80,60
Melee Weapon Attack: +8 to hit reach 5 ft. one target. Hit: 7 (1d6 + 4) bludgeoning damage plus 18 (4d8) radiant damage.,Radiant,4d8,80,60
The deva touches another creature. The target magically regains 20 (4d8 + 2) hit points and is freed from any curse disease poison blindness or deafness.,,,80,61
"The deva magically polymorphs into a humanoid or beast that has a challenge rating equal to or less than its own or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the deva's choice).
In a new form the deva retains its game statistics and ability to speak but its AC movement modes Strength Dexterity and special senses are replaced by those of the new form and it gains any statistics and capabilities (except class features legendary actions and lair actions) that the new form has but that it lacks.",,,80,17
Melee Weapon Attack: +5 to hit reach 5 ft. one target. Hit: 10 (2d6 + 3) piercing damage. If the target is a creature it must succeed on a DC 13 Strength saving throw or be knocked prone.,Piercing,2d6+3,81,6
The djinni makes three scimitar attacks.,,,82,1
Melee Weapon Attack: +9 to hit reach 5 ft. one target. Hit: 12 (2d6 + 5) slashing damage plus 3 (1d6) lightning or thunder damage (djinni's choice).,Slashing,2d6+5,82,31
Melee Weapon Attack: +9 to hit reach 5 ft. one target. Hit: 12 (2d6 + 5) slashing damage plus 3 (1d6) lightning or thunder damage (djinni's choice).,,,82,31
"A 5-foot-radius 30-foot-tall cylinder of swirling air magically forms on a point the djinni can see within 120 feet of it. The whirlwind lasts as long as the djinni maintains concentration (as if concentrating on a spell). Any creature but the djinni that enters the whirlwind must succeed on a DC 18 Strength saving throw or be restrained by it. The djinni can move the whirlwind up to 60 feet as an action and creatures restrained by the whirlwind move with it. The whirlwind ends if the djinni loses sight of it.
A creature can use its action to free a creature restrained by the whirlwind including itself by succeeding on a DC 18 Strength check. If the check succeeds the creature is no longer restrained and moves to the nearest space outside the whirlwind.",,,82,62
The doppelganger makes two melee attacks.,,,83,1
Melee Weapon Attack: +6 to hit reach 5 ft. one target. Hit: 7 (1d6 + 4) bludgeoning damage.,Bludgeoning,1d6+4,83,15
The doppelganger magically reads the surface thoughts of one creature within 60 ft. of it. The effect can penetrate barriers but 3 ft. of wood or dirt 2 ft. of stone 2 inches of metal or a thin sheet of lead blocks it. While the target is in range the doppelganger can continue reading its thoughts as long as the doppelganger's concentration isn't broken (as if concentrating on a spell). While reading the target's mind the doppelganger has advantage on Wisdom (Insight) and Charisma (Deception Intimidation and Persuasion) checks against the target.,,,83,63
Melee Weapon Attack: +6 to hit reach 5 ft. one target. Hit: 9 (2d4 + 4) bludgeoning damage.,Bludgeoning,2d4+4,84,46
The dragon turtle makes three attacks: one with its bite and two with its claws. It can make one tail attack in place of its two claw attacks.,,,85,1
Melee Weapon Attack: +13 to hit reach 15 ft. one target. Hit: 26 (3d12 + 7) piercing damage.,Piercing,3d12+7,85,6
Melee Weapon Attack: +13 to hit reach 10 ft. one target. Hit: 16 (2d8 + 7) slashing damage.,Piercing,2d8+7,85,7
Melee Weapon Attack: +13 to hit reach 15 ft. one target. Hit: 26 (3d12 + 7) bludgeoning damage. If the target is a creature it must succeed on a DC 20 Strength saving throw or be pushed up to 10 feet away from the dragon turtle and knocked prone.,Bludgeoning,3d12+7,85,3
The dragon turtle exhales scalding steam in a 60-foot cone. Each creature in that area must make a DC 18 Constitution saving throw taking 52 (15d6) fire damage on a failed save or half as much damage on a successful one. Being underwater doesn't grant resistance against this damage.,Fire,15d6,85,64
The dretch makes two attacks: one with its bite and one with its claws.,,,86,1
Melee Weapon Attack: +2 to hit reach 5 ft. one target. Hit: 3 (1d6) piercing damage.,Piercing,1d6,86,6
Melee Weapon Attack: +2 to hit reach 5 ft. one target. Hit: 5 (2d4) slashing damage.,Slashing,2d4,86,38
A 10-foot radius of disgusting green gas extends out from the dretch. The gas spreads around corners and its area is lightly obscured. It lasts for 1 minute or until a strong wind disperses it. Any creature that starts its turn in that area must succeed on a DC 11 Constitution saving throw or be poisoned until the start of its next turn. While poisoned in this way the target can take either an action or a bonus action on its turn not both and can't take reactions.,,,86,65
The drider makes three attacks either with its longsword or its longbow. It can replace one of those attacks with a bite attack.,,,87,1
Melee Weapon Attack: +6 to hit reach 5 ft. one creature. Hit: 2 (1d4) piercing damage plus 9 (2d8) poison damage.,Piercing,1d4,87,6
Melee Weapon Attack: +6 to hit reach 5 ft. one creature. Hit: 2 (1d4) piercing damage plus 9 (2d8) poison damage.,Poison,2d8,87,6
Melee Weapon Attack: +6 to hit reach 5 ft. one target. Hit: 7 (1d8 + 3) slashing damage or 8 (1d10 + 3) slashing damage if used with two hands.,,,87,28
Ranged Weapon Attack: +6 to hit range 150/600 ft. one target. Hit: 7 (1d8 + 3) piercing damage plus 4 (1d8) poison damage.,Piercing,1d8+3,87,47
Ranged Weapon Attack: +6 to hit range 150/600 ft. one target. Hit: 7 (1d8 + 3) piercing damage plus 4 (1d8) poison damage.,Poison,1d8,87,47
Melee Weapon Attack: +4 to hit reach 5 ft. one target. Hit: 5 (1d6 + 2) piercing damage.,Bludgeoning,1d6+2,88,23
Ranged Weapon Attack: +4 to hit range 30/120 ft. one target. Hit: 5 (1d6 + 2) piercing damage and the target must succeed on a DC 13 Constitution saving throw or be poisoned for 1 hour. If the saving throw fails by 5 or more the target is also unconscious while poisoned in this way. The target wakes up if it takes damage or if another creature takes an action to shake it awake.,Piercing,1d6+2,88,66
 Melee Weapon Attack: +2 to hit (+4 to hit with shillelagh) reach 5 ft. one target. Hit: 3 (1d6) bludgeoning damage 4 (1d8) bludgeoning damage if wielded with two hands or 6 (1d8 + 2) bludgeoning damage with shillelagh.,,,89,67
Melee Weapon Attack: +2 to hit (+6 to hit with shillelagh) reach 5 ft. one target. Hit: 2 (1 d4) bludgeoning damage or 8 (1d8 + 4) bludgeoning damage with shillelagh.,Bludgeoning,1d4,90,5
"The dryad targets one humanoid or beast that she can see within 30 feet of her. If the target can see the dryad it must succeed on a DC 14 Wisdom saving throw or be magically charmed. The charmed creature regards the dryad as a trusted friend to be heeded and protected. Although the target isn't under the dryad's control it takes the dryad's requests or actions in the most favorable way it can.
Each time the dryad or its allies do anything harmful to the target it can repeat the saving throw ending the effect on itself on a success. Otherwise the effect lasts 24 hours or until the dryad dies is on a different plane of existence from the target or ends the effect as a bonus action. If a target's saving throw is successful the target is immune to the dryad's Fey Charm for the next 24 hours.
The dryad can have no more than one humanoid and up to three beasts charmed at a time.",,,90,68
For 1 minute the duergar magically increases in size along with anything it is wearing or carrying. While enlarged the duergar is Large doubles its damage dice on Strength-based weapon attacks (included in the attacks) and makes Strength checks and Strength saving throws with advantage. If the duergar lacks the room to become Large it attains the maximum size possible in the space available.,,,91,69
Melee Weapon Attack: +4 to hit reach 5 ft. one target. Hit: 6 (1d8 + 2) piercing damage or 11 (2d8 + 2) piercing damage while enlarged.,Piercing,1d8+2,91,58
Melee or Ranged Weapon Attack: +4 to hit reach 5 ft. or range 30/120 ft. one target. Hit: 5 (1d6 + 2) piercing damage or 9 (2d6 + 2) piercing damage while enlarged.,Bludgeoning,1d6+2,91,43
The duergar magically turns invisible until it attacks casts a spell or uses its Enlarge or until its concentration is broken up to 1 hour (as if concentrating on a spell). Any equipment the duergar wears or carries is invisible with it.,,,91,70
Melee Weapon Attack: +4 to hit reach 5 ft. one creature. Hit: 4 (1d4 + 2) slashing damage.,Slashing,1d4+2,92,38
The mephit exhales a 15-foot cone of blinding dust. Each creature in that area must succeed on a DC 10 Dexterity saving throw or be blinded for 1 minute. A creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success.,,,92,71
Melee Weapon Attack: +4 to hit reach 5 ft. one target. Hit: 4 (1d4 + 2) slashing damage.,Bludgeoning,1d4+2,93,72
The elemental makes two slam attacks.,,,94,1
Melee Weapon Attack: +8 to hit reach 10 ft. one target. Hit: 14 (2d8 + 5) bludgeoning damage.,Bludgeoning,2d8+5,94,15
The efreeti makes two scimitar attacks or uses its Hurl Flame twice.,,,95,1
Melee Weapon Attack: +10 to hit reach 5 ft. one target. Hit: 13 (2d6 + 6) slashing damage plus 7 (2d6) fire damage.,Slashing,2d6+6,95,31
Melee Weapon Attack: +10 to hit reach 5 ft. one target. Hit: 13 (2d6 + 6) slashing damage plus 7 (2d6) fire damage.,Fire,2d6,95,31
Ranged Spell Attack: +7 to hit range 120 ft. one target. Hit: 17 (5d6) fire damage.,Fire,5d6,95,32
Melee Weapon Attack: +8 to hit reach 5 ft. one target. Hit: 19 (3d8 + 6) piercing damage.,Piercing,3d8+6,96,73
Melee Weapon Attack: +8 to hit reach 5 ft. one prone creature. Hit: 22 (3d10 + 6) bludgeoning damage.,Bludgeoning,3d10+6,96,74
Melee Weapon Attack: +5 to hit reach 5 ft. one target. Hit: 6 (1d6 + 3) bludgeoning damage.,Bludgeoning,1d6+3,97,75
Melee Weapon Attack: +5 to hit reach 5 ft. one prone creature. Hit: 8 (2d4 + 3) bludgeoning damage.,Bludgeoning,2d4+3,97,46
The erinyes makes three attacks,,,98,1
Melee Weapon Attack: +8 to hit reach 5 ft. one target. Hit: 8 (1d8 + 4) slashing damage or 9 (1d10 + 4) slashing damage if used with two hands plus 13 (3d8) poison damage.,,,98,28
Melee Weapon Attack: +8 to hit reach 5 ft. one target. Hit: 8 (1d8 + 4) slashing damage or 9 (1d10 + 4) slashing damage if used with two hands plus 13 (3d8) poison damage.,Poison,3d8,98,28
Ranged Weapon Attack: +7 to hit range 150/600 ft. one target. Hit: 7 (1d8 + 3) piercing damage plus 13 (3d8) poison damage and the target must succeed on a DC 14 Constitution saving throw or be poisoned. The poison lasts until it is removed by the lesser restoration spell or similar magic.,Piercing,1d8+3,98,47
Ranged Weapon Attack: +7 to hit range 150/600 ft. one target. Hit: 7 (1d8 + 3) piercing damage plus 13 (3d8) poison damage and the target must succeed on a DC 14 Constitution saving throw or be poisoned. The poison lasts until it is removed by the lesser restoration spell or similar magic.,Poison,3d8,98,47
The ettercap makes two attacks: one with its bite and one with its claws.,,,99,1
Melee Weapon Attack: +4 to hit reach 5 ft. one creature. Hit: 6 (1d8 + 2) piercing damage plus 4 (1d8) poison damage. The target must succeed on a DC 11 Constitution saving throw or be poisoned for 1 minute. The creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success.,Piercing,2d6+2,99,6
Melee Weapon Attack: +4 to hit reach 5 ft. one creature. Hit: 6 (1d8 + 2) piercing damage plus 4 (1d8) poison damage. The target must succeed on a DC 11 Constitution saving throw or be poisoned for 1 minute. The creature can repeat the saving throw at the end of each of its turns ending the effect on itself on a success.,Poison,1d8,99,6
Melee Weapon Attack: +4 to hit reach 5 ft. one target. Hit: 7 (2d4 + 2) slashing damage.,Bludgeoning,2d4+2,99,38
Ranged Weapon Attack: +4 to hit range 30/60 ft. one Large or smaller creature. Hit: The creature is restrained by webbing. As an action the restrained creature can make a DC 11 Strength check escaping from the webbing on a success. The effect ends if the webbing is destroyed. The webbing has AC 10 5 hit points is vulnerable to fire damage and immune to bludgeoning damage.,,,99,76
The ettin makes two attacks: one with its battleaxe and one with its morningstar.,,,100,1
Melee Weapon Attack: +7 to hit reach 5 ft. one target. Hit: 14 (2d8 + 5) slashing damage.,Slashing,2d8+5,100,77
Melee Weapon Attack: +7 to hit reach 5 ft. one target. Hit: 14 (2d8 + 5) piercing damage.,Piercing,2d8+5,100,42
The elemental makes two touch attacks.,,,101,1
Melee Weapon Attack: +6 to hit reach 5 ft. one target. Hit: 10 (2d6 + 3) fire damage. If the target is a creature or a flammable object it ignites. Until a creature takes an action to douse the fire the target takes 5 (1d10) fire damage at the start of each of its turns.,Fire,2d6+3,101,78
The giant makes two greatsword attacks.,,,102,1
Melee Weapon Attack: +11 to hit reach 10 ft. one target. Hit: 28 (6d6 + 7) slashing damage.,Slashing,6d6+7,102,79
Ranged Weapon Attack: +11 to hit range 60/240 ft. one target. Hit: 29 (4d10 + 7) bludgeoning damage.,Bludgeoning,4d10+7,102,21
The golem makes two slam attacks.,,,103,1
Melee Weapon Attack: +7 to hit reach 5 ft. one target. Hit: 13 (2d8 + 4) bludgeoning damage.,Bludgeoning,2d8+4,103,15
Melee Weapon Attack: +6 to hit reach 5 ft. one target. Hit: 1 piercing damage plus 7 (3d4) poison damage.,Bludgeoning,1,104,6
Melee Weapon Attack: +6 to hit reach 5 ft. one target. Hit: 1 piercing damage plus 7 (3d4) poison damage.,Poison,3d4,104,6
Melee Weapon Attack: +3 to hit reach 5 ft. one target. Hit: 5 (1d8 + 1) slashing damage.,Slashing,1d8+1,105,28
The giant makes two greataxe attacks.,,,107,1
Melee Weapon Attack: +9 to hit reach 10 ft. one target. Hit: 25 (3d12 + 6) slashing damage.,Slashing,3d12+6,107,37
Ranged Weapon Attack: +9 to hit range 60/240 ft. one target. Hit: 28 (4d10 + 6) bludgeoning damage.,Bludgeoning,4d10+6,107,21
The gargoyle makes two attacks: one with its bite and one with its claws.,,,108,1
Melee Weapon Attack: +4 to hit reach 5 ft. one target. Hit: 5 (1d6 + 2) piercing damage.,Piercing,1d6+2,108,6
Melee Weapon Attack: +4 to hit reach 5 ft. one target. Hit: 5 (1d6 + 2) slashing damage.,Slashing,1d6+2,108,38
Melee Weapon Attack: +4 to hit reach 5 ft. one creature. Hit: 10 (3d6) acid damage.,Acid,3d6,109,39
"The cube moves up to its speed. While doing so it can enter Large or smaller creatures' spaces. Whenever the cube enters a creature's space the creature must make a DC 12 Dexterity saving throw.
On a successful save the creature can choose to be pushed 5 feet back or to the side of the cube. A creature that chooses not to be pushed suffers the consequences of a failed saving throw.
On a failed save the cube enters the creature's space and the creature takes 10 (3d6) acid damage and is engulfed. The engulfed creature can't breathe is restrained and takes 21 (6d6) acid damage at the start of each of the cube's turns. When the cube moves the engulfed creature moves with it.
An engulfed creature can try to escape by taking an action to make a DC 12 Strength check. On a success the creature escapes and enters a space of its choice within 5 feet of the cube.",Acid,3d6,109,81
Melee Weapon Attack: +3 to hit reach 5 ft. one creature. Hit: 12 (2d8 + 3) piercing damage.,Piercing,2d8+3,110,6
Melee Weapon Attack: +5 to hit reach 5 ft. one target. Hit: 10 (2d6 + 3) slashing damage. If the target is a creature other than an undead it must succeed on a DC 10 Constitution saving throw or be paralyzed for 1 minute. The target can repeat the saving throw at the end of each of its turns ending the effect on itself on a success.,Slashing,2d6+3,110,38
Melee Weapon Attack: +5 to hit reach 5 ft. one target. Hit: 17 (4d6 + 3) necrotic damage.,Necrotic,4d6+3,111,82
The ghost enters the Ethereal Plane from the Material Plane or vice versa. It is visible on the Material Plane while it is in the Border Ethereal and vice versa yet it can't affect or be affected by anything on the other plane.,,,111,83
